ACC,YI,XI,DS_YI,DS_XI,SLOPE
0,49,82,49,83,5.75
0,49,84,50,84,3.47
0,49,85,50,85,1.82
0,49,86,50,85,1.37
0,50,77,50,78,9.55
0,50,83,51,84,9.96
0,50,86,51,86,4.97
0,50,87,51,88,3.82
0,51,75,51,76,8.27
0,51,77,51,78,18.54
0,51,87,52,87,7.72
0,52,76,53,77,20.37
0,52,88,53,88,11.03
0,52,89,53,89,7.86
0,53,73,53,74,23.05
0,53,78,54,79,23.83
0,53,79,53,80,23.87
0,53,90,54,89,8.10
0,54,70,53,71,24.09
0,54,71,54,72,31.34
0,54,84,54,85,11.67
0,54,91,55,90,6.00
0,54,92,55,93,6.45
0,54,93,54,94,12.20
0,54,96,55,97,3.70
0,55,69,55,70,25.12
0,55,85,55,86,11.14
0,55,91,56,90,11.61
0,55,92,56,93,9.43
0,55,95,56,96,6.87
0,56,68,56,69,26.46
0,56,77,55,78,24.84
0,56,79,55,80,28.67
0,56,80,55,81,30.19
0,56,81,56,82,25.08
0,56,86,57,87,11.42
0,56,91,56,90,13.68
0,56,92,56,93,8.98
0,56,94,57,95,7.95
0,56,98,56,99,13.52
0,56,100,57,101,4.91
0,57,64,58,65,16.73
0,57,65,58,66,24.46
0,57,66,57,67,24.95
0,57,72,56,73,34.39
0,57,73,56,74,30.27
0,57,74,56,75,27.75
0,57,75,56,76,26.43
0,57,76,58,77,23.38
0,57,77,56,78,16.82
0,57,78,57,79,17.92
0,57,84,58,85,19.68
0,57,85,58,86,15.70
0,57,88,58,89,8.61
0,57,90,58,89,12.74
0,57,91,58,90,13.42
0,57,92,58,91,6.67
0,57,93,58,94,10.32
0,57,99,57,100,11.38
0,57,102,58,103,3.43
0,58,57,59,57,11.89
0,58,58,59,59,18.62
0,58,59,59,60,29.58
0,58,60,59,61,30.61
0,58,61,58,62,26.54
0,58,64,59,65,31.81
0,58,67,59,68,27.50
0,58,68,57,69,25.79
0,58,69,57,70,26.94
0,58,70,57,71,28.54
0,58,71,58,72,34.64
0,58,73,59,74,31.69
0,58,74,59,75,30.36
0,58,75,58,76,29.68
0,58,78,59,79,22.25
0,58,79,59,80,28.04
0,58,80,58,81,30.62
0,58,92,59,91,4.26
0,58,93,58,94,9.76
0,58,100,59,101,7.84
0,59,56,60,56,16.29
0,59,58,60,58,28.57
0,59,62,60,63,35.91
0,59,63,59,64,40.22
0,59,69,60,70,34.49
0,59,70,60,71,33.76
0,59,71,59,72,37.96
0,59,76,60,77,30.91
0,59,81,60,82,27.46
0,59,82,60,83,25.30
0,59,83,60,84,26.32
0,59,84,59,85,23.21
0,59,88,60,89,9.72
0,59,90,60,89,12.40
0,59,92,60,91,5.77
0,59,93,60,94,10.88
0,59,94,60,95,18.33
0,60,59,60,60,31.75
0,60,64,61,65,39.68
0,60,72,61,73,38.88
0,60,92,61,91,11.43
0,60,93,61,94,15.94
0,61,55,62,56,9.14
0,61,56,62,57,22.42
0,61,59,62,59,33.22
0,61,60,61,61,30.35
0,61,66,62,67,35.13
0,61,67,61,68,36.62
0,61,89,62,90,10.54
0,61,92,62,92,20.15
0,61,93,62,94,22.57
0,62,55,63,56,17.08
0,62,60,63,60,30.67
0,62,61,62,62,27.55
0,62,74,63,75,31.10
0,62,83,63,84,21.34
0,62,84,63,85,18.57
0,62,85,63,86,16.46
0,62,86,63,86,16.80
0,62,89,63,89,20.47
0,62,91,63,91,25.88
0,62,93,63,93,24.20
0,62,95,63,96,14.81
0,63,55,64,56,19.97
0,63,61,64,61,30.19
0,63,62,63,63,27.74
0,63,76,63,77,29.47
0,63,95,64,96,15.32
0,63,100,64,100,10.08
0,63,102,64,102,7.73
0,64,54,65,55,13.24
0,64,55,64,56,27.15
0,64,62,65,62,28.35
0,64,63,64,64,28.82
0,64,77,65,78,23.03
0,64,81,63,82,14.23
0,64,82,63,83,16.80
0,64,83,65,84,17.45
0,64,84,65,85,15.94
0,64,85,65,86,13.68
0,64,86,65,86,12.18
0,64,87,65,88,13.97
0,64,88,64,89,18.20
0,64,91,65,91,17.04
0,64,95,65,95,16.29
0,64,97,65,97,12.01
0,64,99,65,99,10.16
0,64,103,65,104,6.27
0,64,106,65,105,2.31
0,64,107,65,108,1.81
0,65,54,66,55,23.92
0,65,56,66,57,34.80
0,65,57,65,58,32.84
0,65,63,66,63,25.64
0,65,64,65,65,30.59
0,65,80,64,80,10.45
0,65,81,66,82,12.38
0,65,82,66,83,15.06
0,65,83,65,84,16.71
0,65,100,66,100,8.06
0,65,103,66,104,5.81
0,65,106,66,106,3.79
0,65,107,66,106,2.53
0,66,53,66,54,24.30
0,66,58,67,59,34.76
0,66,59,66,60,35.48
0,66,64,66,65,20.47
0,66,71,66,72,33.95
0,66,73,65,74,29.38
0,66,74,65,75,25.81
0,66,75,66,76,24.08
0,66,84,65,85,17.98
0,66,85,65,85,23.77
0,66,87,65,88,21.86
0,66,88,65,89,20.44
0,66,89,65,90,19.75
0,66,90,66,91,19.34
0,66,94,67,94,17.82
0,66,96,67,95,13.99
0,66,99,67,99,7.66
0,66,102,67,102,5.41
0,66,107,67,106,3.04
0,66,108,67,107,1.65
0,66,110,67,111,0.69
0,67,52,68,53,4.30
0,67,53,67,54,23.43
0,67,60,68,61,31.35
0,67,64,68,64,27.21
0,67,65,67,66,21.74
0,67,80,67,81,17.23
0,67,83,66,83,20.32
0,67,84,67,85,13.90
0,67,86,67,87,18.63
0,67,91,66,92,16.03
0,67,92,67,93,15.56
0,67,96,68,96,21.94
0,67,103,68,103,6.50
0,67,105,68,105,4.74
0,67,108,68,108,2.62
0,67,109,68,109,2.39
0,68,52,69,52,13.58
0,68,58,69,59,33.23
0,68,59,68,60,34.74
0,68,65,69,64,26.37
0,68,66,68,67,22.19
0,68,81,67,81,20.81
0,68,83,68,84,22.75
0,68,85,68,86,14.73
0,68,93,67,94,14.05
0,68,94,68,95,13.35
0,68,99,69,98,14.15
0,68,102,69,102,7.17
0,68,107,69,106,4.91
0,68,111,68,112,1.52
0,69,51,70,51,17.26
0,69,53,70,54,28.21
0,69,54,69,55,35.03
0,69,65,70,64,32.78
0,69,66,70,66,21.32
0,69,67,69,68,22.31
0,69,81,68,82,12.88
0,69,82,69,83,17.10
0,69,85,69,86,14.29
0,69,95,68,96,12.95
0,69,96,69,97,13.51
0,69,100,70,99,8.81
0,69,109,70,108,2.24
0,69,111,70,111,2.01
0,70,50,71,51,15.47
0,70,53,71,54,31.98
0,70,55,71,56,33.06
0,70,56,70,57,30.69
0,70,65,71,64,35.57
0,70,67,71,67,20.19
0,70,68,69,69,19.30
0,70,69,69,70,32.69
0,70,70,69,71,37.09
0,70,72,69,73,36.25
0,70,80,70,81,20.56
0,70,82,71,83,21.55
0,70,83,71,84,29.52
0,70,84,71,85,25.87
0,70,86,71,87,17.80
0,70,87,70,88,19.63
0,70,89,71,90,14.77
0,70,90,70,91,16.49
0,70,96,69,97,13.34
0,70,97,70,98,16.33
0,70,100,71,99,13.11
0,70,101,71,101,9.39
0,70,109,71,108,4.68
0,71,49,72,48,13.18
0,71,50,72,51,20.15
0,71,52,72,53,30.88
0,71,57,72,58,31.61
0,71,58,72,59,36.81
0,71,59,71,60,39.10
0,71,65,72,64,37.41
0,71,68,72,68,24.99
0,71,69,72,69,23.34
0,71,70,70,71,29.23
0,71,71,72,72,33.20
0,71,72,70,73,30.41
0,71,73,70,74,24.89
0,71,74,70,75,22.95
0,71,75,70,76,24.49
0,71,76,70,77,24.08
0,71,77,70,78,22.31
0,71,78,70,79,22.86
0,71,79,71,80,25.21
0,71,86,72,86,24.72
0,71,88,72,89,17.52
0,71,97,71,98,17.81
0,71,100,72,99,16.15
0,71,102,72,101,7.19
0,71,103,72,104,7.51
0,71,110,72,109,5.01
0,71,112,72,112,3.25
0,72,49,73,50,16.67
0,72,50,73,51,23.51
0,72,52,73,53,32.00
0,72,60,73,61,36.76
0,72,61,72,62,34.38
0,72,67,73,66,32.36
0,72,70,73,71,35.38
0,72,71,73,72,39.44
0,72,73,73,74,33.53
0,72,74,73,74,30.68
0,72,75,73,76,29.89
0,72,76,73,77,28.86
0,72,77,73,78,26.21
0,72,78,73,79,25.31
0,72,79,72,80,27.27
0,72,81,72,82,24.46
0,72,88,73,88,19.13
0,72,90,73,91,14.04
0,72,91,73,92,13.63
0,72,92,72,93,12.59
0,72,94,72,95,16.34
0,72,100,73,99,18.23
0,72,102,73,101,10.43
