datetime,fr_pr,uc_pr,hm_pr,fruchm_avg_pr
01/10/2005,16,11.3,7.4,11.6
02/10/2005,0,0,0,0
03/10/2005,0.8,0.5,0,0.4
04/10/2005,0.5,0.4,0,0.3
05/10/2005,0.1,0.1,0,0.1
06/10/2005,0,0,0,0
07/10/2005,0.1,0.1,0,0.1
08/10/2005,0,0,0,0
09/10/2005,0,0,0,0
10/10/2005,0,0,0,0
11/10/2005,0.6,0.4,0,0.3
12/10/2005,0,0,0,0
13/10/2005,1.4,1,0,0.8
14/10/2005,0,0,0,0
15/10/2005,1.3,0.9,0,0.7
16/10/2005,2.1,1.5,0,1.2
17/10/2005,28.8,20.3,9,19.4
18/10/2005,0.4,0.3,0.2,0.3
19/10/2005,0,0,0,0
20/10/2005,14,9.9,6.5,10.1
21/10/2005,0.4,0.3,0.5,0.4
22/10/2005,0.4,0.3,0,0.2
23/10/2005,0.1,0.1,0,0.1
24/10/2005,0,0,0,0
25/10/2005,0,0,0,0
26/10/2005,0.5,0.4,0.1,0.3
27/10/2005,6.2,4.3,2.1,4.2
28/10/2005,0.5,0.4,0.1,0.3
29/10/2005,0.4,0.3,0.2,0.3
30/10/2005,0.3,0.2,0.1,0.2
31/10/2005,1.8,1.3,0.6,1.2
01/11/2005,9.7,6.4,2.7,6.3
02/11/2005,1.2,0.8,3.9,2
03/11/2005,0.1,0.1,0.1,0.1
04/11/2005,0.3,0.2,0,0.2
05/11/2005,0.5,0.3,0,0.3
06/11/2005,3.5,2.3,1.4,2.4
07/11/2005,0.2,0.1,0,0.1
08/11/2005,0.2,0.1,0,0.1
09/11/2005,0.2,0.1,0,0.1
10/11/2005,1.5,1,0.1,0.9
11/11/2005,14.5,9.6,10.9,11.7
12/11/2005,1.1,0.7,0.4,0.7
13/11/2005,0,0,0,0
14/11/2005,2.7,1.8,0.5,1.7
15/11/2005,0.1,0.1,0,0.1
16/11/2005,0,0,0,0
17/11/2005,0,0,0,0
18/11/2005,0.7,0.3,0.3,0.4
19/11/2005,0,0,0,0
20/11/2005,0.1,0.1,0,0.1
21/11/2005,0.3,0.2,0.1,0.2
22/11/2005,0,0,0,0
23/11/2005,0.2,0.1,0,0.1
24/11/2005,0,0,0,0
25/11/2005,0,0,0,0
26/11/2005,0.9,0.6,1.1,0.9
27/11/2005,12.6,8.3,4.1,8.3
28/11/2005,2.5,1.7,0.7,1.6
29/11/2005,2.8,1.9,1,1.9
30/11/2005,1,0.7,0.6,0.8
01/12/2005,1.4,0.9,1,1.1
02/12/2005,1.8,1.2,0.7,1.2
03/12/2005,0.1,0.1,0,0.1
04/12/2005,0.2,0.1,0,0.1
05/12/2005,6.5,4.3,3.1,4.6
06/12/2005,0.4,0.2,0.1,0.2
07/12/2005,0,0,0,0
08/12/2005,0,0,0,0
09/12/2005,0.5,0.3,0,0.3
10/12/2005,0,0,0,0
11/12/2005,0.2,0.1,0,0.1
12/12/2005,0.4,0.3,0.1,0.3
13/12/2005,10.7,7,2.5,6.7
14/12/2005,0.1,0.1,0,0.1
15/12/2005,0.1,0.1,0,0.1
16/12/2005,0.2,0.2,0,0.1
17/12/2005,0,0,0,0
18/12/2005,0,0,0,0
19/12/2005,0,0,0,0
20/12/2005,1.7,1.1,0,0.9
21/12/2005,0.5,0.3,0,0.3
22/12/2005,0.4,0.2,0,0.2
23/12/2005,0.8,0.6,0,0.5
24/12/2005,0,0,0,0
25/12/2005,0.9,0.6,0,0.5
26/12/2005,0.2,0.1,0,0.1
27/12/2005,0.2,0.1,0,0.1
28/12/2005,0.2,0.1,0,0.1
29/12/2005,0.1,0.1,0,0.1
30/12/2005,0,0,0,0
31/12/2005,0,0,0,0
01/01/2006,0,0,0,0
02/01/2006,0,0,0,0
03/01/2006,0.2,0.1,0,0.1
04/01/2006,0,0,0,0
05/01/2006,0.2,0.1,0,0.1
06/01/2006,7.7,5,1,4.6
07/01/2006,1.3,0.9,0.3,0.8
08/01/2006,0.1,0.1,0,0.1
09/01/2006,1.6,1,1,1.2
10/01/2006,1.1,0.7,0.3,0.7
11/01/2006,6.4,4.2,1.7,4.1
12/01/2006,0.3,0.2,0,0.2
13/01/2006,2.3,1.5,1,1.6
14/01/2006,1.8,1.2,0.8,1.3
15/01/2006,0.4,0.3,0.6,0.4
16/01/2006,0,0,0,0
17/01/2006,0.3,0.2,0,0.2
18/01/2006,0,0,0,0
19/01/2006,0.2,0.1,0,0.1
20/01/2006,1.4,0.9,0,0.8
21/01/2006,0,0,0,0
22/01/2006,0,0,0,0
23/01/2006,0,0,0,0
24/01/2006,0,0,0,0
25/01/2006,0.1,0.1,0,0.1
26/01/2006,5.1,3.3,0.6,3
27/01/2006,0.1,0.1,0.2,0.1
28/01/2006,0.1,0.1,0,0.1
29/01/2006,0,0,0.2,0.1
30/01/2006,6,3.9,2.9,4.3
31/01/2006,1.8,1.2,1.1,1.4
01/02/2006,1,0.6,0,0.5
02/02/2006,0,0,0.3,0.1
03/02/2006,0,0,0,0
04/02/2006,1.2,0.8,0,0.7
05/02/2006,0.1,0.1,0,0.1
06/02/2006,0,0,0,0
07/02/2006,0,0,0,0
08/02/2006,2.1,1.4,0.5,1.3
09/02/2006,0,0,0,0
10/02/2006,0,0,0.1,0
11/02/2006,0,0,0,0
12/02/2006,0,0,0,0
13/02/2006,1.2,0.8,0.4,0.8
14/02/2006,2.9,1.9,3,2.6
15/02/2006,7.1,4.7,2,4.6
16/02/2006,3.4,2.2,1.9,2.5
17/02/2006,0,0,0,0
18/02/2006,0,0,0,0
19/02/2006,0,0,0,0
20/02/2006,0,0,0,0
21/02/2006,0,0,0,0
22/02/2006,2.4,1.6,0.6,1.5
23/02/2006,10.3,6.8,4.3,7.1
24/02/2006,1.3,0.8,0.7,0.9
25/02/2006,0,0,0,0
26/02/2006,0.1,0.1,0,0.1
27/02/2006,2,1.3,1.8,1.7
28/02/2006,10,6.6,6.3,7.6
01/03/2006,0,0,0,0
02/03/2006,0.2,0.1,0.2,0.2
03/03/2006,1.1,0.7,0,0.6
04/03/2006,0,0,0,0
05/03/2006,0,0,0,0
06/03/2006,0,0,0,0
07/03/2006,2.1,1.4,0.6,1.4
08/03/2006,0,0,0.1,0
09/03/2006,0.4,0.3,0,0.2
10/03/2006,0,0,0.2,0.1
11/03/2006,1.5,1,0.7,1.1
12/03/2006,0.6,0.4,0,0.3
13/03/2006,0,0,0,0
14/03/2006,0,0,0,0
15/03/2006,0,0,0,0
16/03/2006,0,0,0,0
17/03/2006,0,0,0,0
18/03/2006,1.9,1.3,3.1,2.1
19/03/2006,0.6,0.4,0.4,0.5
20/03/2006,0,0,0,0
21/03/2006,0,0,0,0
22/03/2006,0,0,0,0
23/03/2006,0,0,0,0
24/03/2006,0,0,0,0
25/03/2006,0,0,0,0
26/03/2006,7,4.6,3,4.9
27/03/2006,0,0,0,0
28/03/2006,0.2,0.1,0,0.1
29/03/2006,0.1,0.1,0,0.1
30/03/2006,0.4,0.2,0,0.2
31/03/2006,0,0,0,0
01/04/2006,0,0,0,0
02/04/2006,0,0,0,0
03/04/2006,0,0,0,0
04/04/2006,0,0,0,0
05/04/2006,3.5,2.4,1.9,2.6
06/04/2006,6.1,4.2,3.5,4.6
07/04/2006,0,0,0,0
08/04/2006,0,0,0,0
09/04/2006,0,0,0,0
10/04/2006,24,16.2,15.8,18.7
11/04/2006,18.4,12.4,11.6,14.1
12/04/2006,7.7,5.2,4.3,5.7
13/04/2006,0.6,0.4,0.6,0.5
14/04/2006,1.8,1.2,1.2,1.4
15/04/2006,6.5,4.4,2,4.3
16/04/2006,1.4,0.9,0.8,1
17/04/2006,0,0,0,0
18/04/2006,0,0,0,0
19/04/2006,0,0,0,0
20/04/2006,0,0,0,0
21/04/2006,0,0,0,0
22/04/2006,10,6.8,5.2,7.3
23/04/2006,0,0,0,0
24/04/2006,0,0,0,0
25/04/2006,0,0,0,0
26/04/2006,0,0,0,0
27/04/2006,0,0,0,0
28/04/2006,0,0,0,0
29/04/2006,0.7,0.5,0,0.4
30/04/2006,22.4,15.1,14.8,17.4
01/05/2006,12.2,8.2,3.3,7.9
02/05/2006,2.7,1.8,2.1,2.2
03/05/2006,0,0,0,0
04/05/2006,0,0,0,0
05/05/2006,0,0,0,0
