datetime,pr,rf,sf,tas,pet
2005-10-01,16.0,0.0,16.0,269.75,2.12
2005-10-02,0.0,0.0,0.0,268.39,0.87
2005-10-03,0.8,0.0,0.8,269.34,1.43
2005-10-04,0.5,0.0,0.5,270.44,1.69
2005-10-05,0.1,0.0,0.1,272.77,1.40
2005-10-06,0.0,0.0,0.0,272.57,1.89
2005-10-07,0.1,0.0,0.1,270.95,2.27
2005-10-08,0.0,0.0,0.0,271.83,2.43
2005-10-09,0.0,0.0,0.0,276.20,2.24
2005-10-10,0.0,0.0,0.0,274.79,2.21
2005-10-11,0.6,0.0,0.6,274.17,2.01
2005-10-12,0.0,0.0,0.0,272.74,1.72
2005-10-13,1.4,0.1,1.3,273.50,1.78
2005-10-14,0.0,0.0,0.0,279.29,3.18
2005-10-15,1.3,0.1,1.2,273.90,1.37
2005-10-16,2.1,1.1,1.0,273.61,0.52
2005-10-17,28.8,0.1,28.7,272.81,2.28
2005-10-18,0.4,0.1,0.3,276.15,2.18
2005-10-19,0.0,0.0,0.0,269.50,0.71
2005-10-20,14.0,0.0,14.0,271.67,2.24
2005-10-21,0.4,0.4,0.0,279.47,2.79
2005-10-22,0.4,0.4,0.0,280.18,3.02
2005-10-23,0.1,0.1,0.0,279.17,3.62
2005-10-24,0.0,0.0,0.0,282.60,4.06
2005-10-25,0.0,0.0,0.0,274.90,1.66
2005-10-26,0.5,0.0,0.5,268.68,0.22
2005-10-27,6.2,0.0,6.2,269.48,1.27
2005-10-28,0.5,0.0,0.5,268.88,1.42
2005-10-29,0.4,0.0,0.4,266.98,1.07
2005-10-30,0.3,0.0,0.3,268.44,0.82
2005-10-31,1.8,0.0,1.8,268.23,0.57
2005-11-01,9.7,0.0,9.7,266.35,1.30
2005-11-02,1.2,0.0,1.2,265.56,1.01
2005-11-03,0.1,0.0,0.1,265.61,0.82
2005-11-04,0.3,0.0,0.3,264.32,0.87
2005-11-05,0.5,0.0,0.5,264.14,0.79
2005-11-06,3.5,0.0,3.5,263.38,0.85
2005-11-07,0.2,0.0,0.2,263.16,0.91
2005-11-08,0.2,0.0,0.2,269.05,1.20
2005-11-09,0.2,0.1,0.1,275.31,1.86
2005-11-10,1.5,0.0,1.5,266.83,0.95
2005-11-11,14.5,0.0,14.5,263.84,0.82
2005-11-12,1.1,0.0,1.1,263.83,0.70
2005-11-13,0.0,0.0,0.0,261.37,0.43
2005-11-14,2.7,0.0,2.7,261.57,0.60
2005-11-15,0.1,0.0,0.1,268.19,1.04
2005-11-16,0.0,0.0,0.0,272.16,1.95
2005-11-17,0.0,0.0,0.0,273.51,1.33
2005-11-18,0.7,0.0,0.7,275.14,1.66
2005-11-19,0.0,0.0,0.0,270.40,0.89
2005-11-20,0.1,0.0,0.1,273.16,1.16
2005-11-21,0.3,0.0,0.3,270.66,0.86
2005-11-22,0.0,0.0,0.0,273.97,2.08
2005-11-23,0.2,0.0,0.2,271.38,0.82
2005-11-24,0.0,0.0,0.0,270.18,0.84
2005-11-25,0.0,0.0,0.0,270.41,0.83
2005-11-26,0.9,0.0,0.9,268.98,0.73
2005-11-27,12.6,0.0,12.6,265.59,0.40
2005-11-28,2.5,0.0,2.5,262.57,0.34
2005-11-29,2.8,0.0,2.8,259.22,0.27
2005-11-30,1.0,0.0,1.0,254.84,0.20
2005-12-01,1.4,0.0,1.4,253.69,0.19
2005-12-02,1.8,0.0,1.8,254.04,0.20
2005-12-03,0.1,0.0,0.1,254.15,0.18
2005-12-04,0.2,0.0,0.2,257.70,0.26
2005-12-05,6.5,0.0,6.5,260.20,0.26
2005-12-06,0.4,0.0,0.4,253.61,0.16
2005-12-07,0.0,0.0,0.0,255.10,0.19
2005-12-08,0.0,0.0,0.0,261.74,0.30
2005-12-09,0.5,0.0,0.5,267.99,0.83
2005-12-10,0.0,0.0,0.0,270.27,0.73
2005-12-11,0.2,0.0,0.2,270.26,0.69
2005-12-12,0.4,0.0,0.4,268.64,0.78
2005-12-13,10.7,0.0,10.7,264.57,0.37
2005-12-14,0.1,0.0,0.1,260.74,0.27
2005-12-15,0.1,0.0,0.1,260.31,0.30
2005-12-16,0.2,0.0,0.2,260.21,0.28
2005-12-17,0.0,0.0,0.0,258.14,0.24
2005-12-18,0.0,0.0,0.0,260.43,0.28
2005-12-19,0.0,0.0,0.0,261.87,0.32
2005-12-20,1.7,0.0,1.7,269.41,0.61
2005-12-21,0.5,0.0,0.5,272.88,1.27
2005-12-22,0.4,0.0,0.4,273.17,2.12
2005-12-23,0.8,0.0,0.8,271.75,1.74
2005-12-24,0.0,0.0,0.0,273.73,1.98
2005-12-25,0.9,0.0,0.9,275.33,2.52
2005-12-26,0.2,0.0,0.2,271.28,0.80
2005-12-27,0.2,0.0,0.2,270.74,1.54
2005-12-28,0.2,0.0,0.2,267.42,0.59
2005-12-29,0.1,0.0,0.1,267.76,1.07
2005-12-30,0.0,0.0,0.0,265.99,0.75
2005-12-31,0.0,0.0,0.0,266.15,0.61
2006-01-01,0.0,0.0,0.0,267.94,0.77
2006-01-02,0.0,0.0,0.0,268.38,1.27
2006-01-03,0.2,0.0,0.2,266.46,0.70
2006-01-04,0.0,0.0,0.0,268.11,1.44
2006-01-05,0.2,0.0,0.2,271.56,2.11
2006-01-06,7.7,0.0,7.7,270.08,0.53
2006-01-07,1.3,0.0,1.3,268.27,0.43
2006-01-08,0.1,0.0,0.1,266.76,0.49
2006-01-09,1.6,0.0,1.6,268.86,1.59
2006-01-10,1.1,0.0,1.1,269.42,0.95
2006-01-11,6.4,0.0,6.4,267.35,0.46
2006-01-12,0.3,0.0,0.3,266.60,0.63
2006-01-13,2.3,0.0,2.3,268.39,0.75
2006-01-14,1.8,0.0,1.8,269.65,0.51
2006-01-15,0.4,0.0,0.4,265.39,0.45
2006-01-16,0.0,0.0,0.0,263.83,0.81
2006-01-17,0.3,0.0,0.3,267.94,1.52
